cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
133267	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
4979	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
11477	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
9513	unclassified	unclassified	unclassified	unclassified	unclassified
160685	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
70989	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
152326	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
67156	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
98463	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Chlorobenzenes
259729	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Carbamate esters
184146	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aralkylamines	Aralkylamines
11890	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
106488	Organoheterocyclic compounds	Diazines	unclassified	unclassified	Diazines
95807	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids	Carotenoids	Carotenoids
163306	Organoheterocyclic compounds	Azoles	Thiazoles	Thiazolecarboxylic acids and derivatives	Thiazolecarboxylic acids and derivatives
189047	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
18840	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
173849	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	unclassified	Diterpenoids
139667	Organoheterocyclic compounds	Tetrapyrroles and derivatives	unclassified	unclassified	Tetrapyrroles and derivatives
242645	Organohalogen compounds	Aryl halides	unclassified	unclassified	Aryl halides
76925	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
62498	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
28202	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	unclassified	Benzenesulfonamides
4692	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	unclassified	Fatty amides
147949	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Carboxylic acid amides	Carboxylic acid amides
22543	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aralkylamines	Aralkylamines
86575	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
64313	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	C-nitro compounds	Nitroaromatic compounds
53502	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids
