cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
35176	Organohalogen compounds	Alkyl halides	Alkyl fluorides	Perfluoroalkyl carboxylic acid and derivatives	Perfluoroalkyl carboxylic acid and derivatives
87798	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	unclassified	Fatty acyl glycosides
62894	unclassified	unclassified	unclassified	unclassified	unclassified
22424	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
16425	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	unclassified	Fatty acyl glycosides
178887	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
88615	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	Fatty acyl glycosides of mono- and disaccharides
40202	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
13451	Benzenoids	Phenols	Benzenetriols and derivatives	Pyrogallols and derivatives	Pyrogallols and derivatives
15667	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Quinic acids and derivatives
132914	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
89324	Lignans, neolignans and related compounds	Furanoid lignans	unclassified	unclassified	Furanoid lignans
87842	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid O-glycosides
61233	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acid esters	Coumaric acid esters
54037	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Disaccharides	Disaccharides
118400	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Iridoid O-glycosides	Iridoid O-glycosides
59823	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aryl ketones
11669	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
243640	Benzenoids	Benzene and substituted derivatives	Benzenesulfonyl compounds	unclassified	Benzenesulfonyl compounds
34826	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	unclassified	Dicarboxylic acids and derivatives
57764	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
197905	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
33332	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
71783	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavan-3-ols	Catechins
191490	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Gallic acid and derivatives
12842	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
61355	unclassified	unclassified	unclassified	unclassified	unclassified
110068	unclassified	unclassified	unclassified	unclassified	unclassified
111544	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Monosaccharides
189221	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	unclassified	Fatty alcohols
243631	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	unclassified	Benzenesulfonamides
171981	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Disaccharides	Disaccharides
112393	Lipids and lipid-like molecules	Prenol lipids	unclassified	unclassified	Prenol lipids
87110	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
34491	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
198903	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Acyl carnitines	Acyl carnitines
39749	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
36429	Lignans, neolignans and related compounds	unclassified	unclassified	unclassified	Lignans, neolignans and related compounds
181038	Organic acids and derivatives	Organic phosphoric acids and derivatives	unclassified	unclassified	Organic phosphoric acids and derivatives
35797	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
127165	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Glycosyl compounds
194486	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
193392	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
87575	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	unclassified	Bile acids, alcohols and derivatives
188286	Lignans, neolignans and related compounds	unclassified	unclassified	unclassified	Lignans, neolignans and related compounds
79255	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
113696	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids
87130	unclassified	unclassified	unclassified	unclassified	unclassified
9886	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	unclassified	unclassified	Cinnamic acids and derivatives
148755	Nucleosides, nucleotides, and analogues	(5'->5')-dinucleotides	unclassified	unclassified	(5'->5')-dinucleotides
33946	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
144018	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
37320	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Alkyl glycosides	Alkyl glycosides
35410	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Gallic acids
35111	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
79698	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavan-3-ols	Catechin gallates
3624	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	unclassified	Benzenesulfonamides
4722	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
16661	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Dichlorobenzenes
119901	Organic acids and derivatives	Carboxylic acids and derivatives	unclassified	unclassified	Carboxylic acids and derivatives
24392	Nucleosides, nucleotides, and analogues	Purine nucleosides	unclassified	unclassified	Purine nucleosides
61404	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	unclassified	Hydroxycinnamic acids and derivatives
35479	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
193646	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	unclassified	Dicarboxylic acids and derivatives
19454	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
