id	Acmanthera	Acridocarpus	Alicia	Amorimia	Aspicarpa	Banisteriopsis	Barnebya	Blepharandra	Bronwenia	Bunchosia	Burdachia	Byrsonima	Callaeum	Camarea	Carolus	Christianella	Diacidia	Dicella	Diplopterys	Ectopopterys	Galphimia	Gaudichaudia	Glicophyllum	Heladena	Heteropterys	Hiptage	Hiraea	Janusia	Malpighia	Mascagnia	Mcvaughia	Niedenzuella	Peixotoa	Ptilochaeta	Sphedamnocarpus	Stigmaphyllon	Tetrapterys	Thryallis	Verrucularina
Organic sulfuric acids and derivatives	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Organic thiophosphoric acids and derivatives	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1
Organochlorides	1	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1
Organofluorides	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Organonitrogen compounds	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Organooxygen compounds	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Organothiophosphorus compounds	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Oxacyclic compounds	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
Oxanes	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1
Oxazinanes	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Oxepanes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxocins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Peptidomimetics	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Phenanthrenes and derivatives	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Phenol ethers	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Phenols	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Phenylpropanoic acids	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Piperidines	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
Prenol lipids	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Propargyl-type 1,3-dipolar organic compounds	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0
Pteridines and derivatives	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
Purine nucleosides	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Purine nucleotides	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pyrans	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
Pyridines and derivatives	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pyrimidine nucleosides	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1
Pyrimidine nucleotides	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pyrroles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrrolidines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Quinolines and derivatives	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Quinolizines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Saccharolipids	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sphingolipids	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Steroids and steroid derivatives	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Stilbenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfenyl compounds	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1
Sulfinyl compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
Sulfonyls	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sulfoxides	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tannins	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tetrahydrofurans	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tetrahydroisoquinolines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetralins	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Tetrapyrroles and derivatives	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Thiocarbonyl compounds	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1
Thioethers	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Thiophenes	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0
Triazines	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Triazolopyrimidines	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unclassified	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
